NoText_reg,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
-0.086702352,0.088196625,0.090503884,0.088114799,0.089540144,0.071148824,0.071994665,0.092280193,0.099980291,0.097171057
-0.086702352,0.088215462,0.090504145,0.088158046,0.089556022,0.071219859,0.072053404,0.092291186,0.100133941,0.097230031
-0.086702352,0.0882202,0.090518872,0.088173994,0.089601362,0.071244683,0.072055529,0.092484014,0.100221272,0.097452329
-0.086702352,0.088239925,0.090542227,0.088335841,0.08967275,0.071346785,0.072137372,0.092547258,0.100307987,0.097539954
-0.086702352,0.088246372,0.090573989,0.088341917,0.089676288,0.071347063,0.07213805,0.092574306,0.100319547,0.097550597
-0.086702352,0.088284119,0.090666323,0.088405933,0.089708445,0.071522865,0.072173077,0.092661604,0.100440329,0.097760248
-0.086702352,0.088288326,0.090744424,0.088453104,0.089717351,0.071533512,0.072182475,0.092722785,0.100555497,0.097778926
-0.086702352,0.08837373,0.090776133,0.088475693,0.089731599,0.071551766,0.07226886,0.092731583,0.100599594,0.097818273
-0.086366092,0.088399616,0.090780409,0.088562547,0.089738577,0.071704684,0.072273226,0.092759281,0.100616986,0.097966732
-0.086366092,0.088425046,0.090786251,0.088574795,0.089741006,0.071949925,0.072428086,0.092759537,0.100632506,0.097990434
-0.086366092,0.088452266,0.091004103,0.08867379,0.089759966,0.071960113,0.07244326,0.092961561,0.100663378,0.09804118
-0.086366092,0.088488608,0.091010095,0.088694356,0.089838727,0.072012893,0.072518888,0.092964661,0.100706187,0.098211339
-0.086366092,0.088741659,0.091055611,0.088732863,0.089872537,0.072049271,0.072708298,0.093024949,0.100886121,0.098331099
-0.086366092,0.088794273,0.09106618,0.088859495,0.089915077,0.072124474,0.072725706,0.093114573,0.101024428,0.09835953
-0.086366092,0.088852605,0.09107112,0.088927149,0.089995631,0.072144437,0.072793958,0.093117841,0.101091839,0.098364766
-0.086366092,0.088899198,0.091093801,0.089033437,0.090018298,0.072195958,0.072860335,0.093183418,0.101192685,0.098375114
-0.086366092,0.088942969,0.091118853,0.089062934,0.090139188,0.072207458,0.073022225,0.0933339,0.10127778,0.098486105
-0.086366092,0.088948835,0.091127535,0.089067943,0.090165534,0.072215207,0.073149392,0.093365539,0.101404539,0.098544714
-0.086323481,0.089058729,0.091211632,0.089069014,0.090227507,0.072248185,0.073271281,0.093416326,0.101409974,0.098550938
-0.086323481,0.089172892,0.091254546,0.089081755,0.090293834,0.072269997,0.073376744,0.093427375,0.101429191,0.098569305
-0.086323481,0.089221072,0.091310287,0.089102704,0.090330071,0.072280704,0.073384091,0.093491108,0.101456028,0.098600283
-0.086323481,0.089278365,0.091347201,0.089173287,0.090333483,0.072302301,0.073424395,0.093491193,0.101502087,0.098620311
-0.086323481,0.089407001,0.091399787,0.089193608,0.09045261,0.072362839,0.073455713,0.093536369,0.101558205,0.098692281
-0.086323481,0.089458625,0.091499862,0.089228454,0.090616786,0.072421966,0.073506975,0.093563659,0.10155862,0.098700556
-0.086323481,0.089514271,0.091568052,0.089321712,0.09062273,0.072654361,0.073523262,0.093603581,0.10155879,0.098801522
-0.086323481,0.08952798,0.091671968,0.089382401,0.090649381,0.072700219,0.073530106,0.093621463,0.101593489,0.098846246
-0.086323481,0.089584118,0.091895054,0.089385073,0.090734258,0.072732389,0.073659235,0.09366116,0.101886415,0.098898618
-0.086323481,0.089614067,0.091976086,0.089390558,0.090737168,0.072885593,0.073717613,0.09366374,0.101899591,0.098908114
-0.086030921,0.089694873,0.091993006,0.089541895,0.090778158,0.072886366,0.073764335,0.093675565,0.101957111,0.099208089
-0.086030921,0.089713915,0.091998109,0.089573434,0.090893977,0.073025412,0.073923873,0.093722333,0.101994022,0.099315127
-0.086030921,0.089751575,0.092037214,0.089685642,0.090905158,0.073108732,0.074040261,0.093728976,0.101999658,0.099345255
-0.086030921,0.089777452,0.092100216,0.089864538,0.090920609,0.073152865,0.074201244,0.093767511,0.102012405,0.099352912
-0.086030921,0.089828289,0.092108398,0.089891988,0.090926439,0.073283716,0.074233731,0.093782947,0.102019793,0.099457037
-0.086030921,0.089919858,0.092154555,0.089896346,0.090972426,0.073341907,0.074254411,0.094008625,0.102024146,0.099458905
-0.086030921,0.089961197,0.092189021,0.089902674,0.091156097,0.0733827,0.074487658,0.094115563,0.102159167,0.099492751
-0.086030921,0.089974992,0.092207952,0.089955856,0.091196241,0.073416507,0.074514963,0.094182435,0.102192068,0.099503329
-0.086030921,0.089994223,0.092344687,0.090018036,0.09128202,0.073428773,0.074529389,0.094186121,0.102227972,0.099580789
-0.086030921,0.090126519,0.092390758,0.090026075,0.091297851,0.073443429,0.074640899,0.094203469,0.10225099,0.099609964
-0.085862096,0.090179325,0.092694544,0.090045825,0.091315513,0.073554322,0.074645143,0.094278505,0.102275604,0.09966168
-0.085862096,0.090233058,0.092742591,0.090068598,0.091338176,0.073565552,0.074773318,0.094402663,0.102297486,0.099794349
-0.085862096,0.090317266,0.092743248,0.090074147,0.091431777,0.07356986,0.074860462,0.094412054,0.102353201,0.099897998
-0.085862096,0.09034361,0.09274784,0.090142231,0.0914665,0.073636428,0.074903416,0.094486344,0.102477087,0.099898905
-0.085862096,0.09038006,0.092750354,0.090198913,0.091475596,0.073639699,0.075489198,0.094541423,0.102545296,0.100021755
-0.085862096,0.090385689,0.09277404,0.090242054,0.091527634,0.073684105,0.0755387,0.094543437,0.102565516,0.100082001
-0.085862096,0.090391543,0.092805217,0.090260964,0.091702171,0.073744084,0.075719402,0.094590823,0.102601705,0.100144312
-0.085862096,0.0904407,0.092869193,0.090292714,0.091719002,0.073746689,0.075799349,0.094606019,0.102664732,0.100150995
-0.085862096,0.090509549,0.092876886,0.090295141,0.091838106,0.073836721,0.075876082,0.094616027,0.102756171,0.100155503
-0.085862096,0.090554327,0.092890739,0.0903577,0.091861718,0.073840695,0.076017852,0.094675152,0.102833023,0.100215825
-0.085842391,0.090571595,0.092919774,0.090444775,0.091913084,0.074072395,0.07607171,0.094703381,0.102871799,0.100227847
-0.085842391,0.090703286,0.092943771,0.090459809,0.09191867,0.074102637,0.076164733,0.094933539,0.102983696,0.100232575
-0.085842391,0.090731082,0.093002627,0.090462077,0.091938655,0.074114616,0.076336332,0.095029886,0.102989995,0.100281355
-0.085842391,0.090983789,0.093136022,0.090477171,0.092033027,0.074150007,0.076356281,0.09505417,0.103027905,0.100301061
-0.085842391,0.091007973,0.093139483,0.090484494,0.092098175,0.074154914,0.076623567,0.095155494,0.103142644,0.100305239
-0.085842391,0.091036629,0.09316949,0.090485422,0.092163399,0.074182449,0.076644299,0.095223865,0.103220439,0.100409527
-0.085842391,0.091061772,0.093171989,0.090579975,0.09218626,0.074210708,0.076644752,0.095242177,0.103264386,0.100412207
-0.085842391,0.091090846,0.093228145,0.090626325,0.092218104,0.074287167,0.076658396,0.095305989,0.103316843,0.100425046
-0.085842391,0.091118932,0.09323379,0.090691627,0.092225366,0.074298035,0.076740744,0.095352152,0.103387775,0.100464636
-0.085842391,0.091170262,0.09326194,0.090699475,0.09230233,0.074392161,0.076807097,0.095352649,0.103438696,0.100491455
-0.08547281,0.09139257,0.093276694,0.090756562,0.092358659,0.074400633,0.076922656,0.095384814,0.103453115,0.100569918
-0.08547281,0.091420285,0.093289191,0.090802089,0.092412664,0.074407712,0.076934078,0.095411117,0.103509649,0.100602336
-0.08547281,0.091505823,0.093309134,0.090831141,0.092496603,0.074411783,0.076965925,0.095414796,0.103512157,0.100622918
-0.08547281,0.091751923,0.093335523,0.090887887,0.092505773,0.074446752,0.077006262,0.09543661,0.103516958,0.100697499
-0.08547281,0.091761115,0.093373091,0.090932775,0.092540274,0.074580462,0.077028609,0.095450427,0.103577694,0.100734553
-0.08547281,0.091794048,0.093420379,0.090995764,0.092566044,0.074602023,0.077041706,0.095539864,0.103604349,0.100774904
-0.08547281,0.091797476,0.093438321,0.091002864,0.092578044,0.074675314,0.077104787,0.095615544,0.103691257,0.101030317
-0.08547281,0.091828576,0.093502882,0.091012071,0.092635055,0.074697213,0.077118272,0.095665369,0.103691723,0.101056125
-0.08547281,0.091856583,0.093611767,0.091113571,0.09265463,0.074734696,0.077134761,0.095678302,0.103764731,0.101074312
-0.08547281,0.091878552,0.093644119,0.09113432,0.092772904,0.074772792,0.077171026,0.095758362,0.103786198,0.10113983
-0.085424106,0.091882851,0.093709889,0.091153066,0.092812841,0.074794283,0.07724292,0.095802703,0.10392672,0.101147513
-0.085424106,0.091919377,0.093717124,0.09117219,0.092835254,0.074800061,0.077459067,0.095844329,0.103969815,0.101169978
-0.085424106,0.091964621,0.093724008,0.091257653,0.092931454,0.074866164,0.077469406,0.095933674,0.104048528,0.101201538
-0.085424106,0.092007531,0.09372871,0.091261522,0.092991535,0.074875067,0.077494735,0.096026549,0.104053852,0.101219686
-0.085424106,0.092026195,0.093741376,0.091299676,0.093009996,0.075000785,0.077501398,0.096048567,0.104063193,0.101271949
-0.085424106,0.092087714,0.093797806,0.091300663,0.093070018,0.075019916,0.077514323,0.096077426,0.104127169,0.101279344
-0.085424106,0.092221665,0.093931786,0.091352948,0.093082193,0.075212017,0.077609729,0.096098778,0.10412757,0.101331785
-0.085424106,0.092278361,0.093941109,0.091407431,0.093159185,0.075270005,0.077610371,0.09622216,0.104153424,0.101352036
-0.085424106,0.092302732,0.093965519,0.091541853,0.093247586,0.075290045,0.077620488,0.096264807,0.10417604,0.101411476
-0.085424106,0.092324551,0.093976262,0.091595823,0.09329203,0.075327113,0.077645021,0.096338062,0.104412398,0.101425064
-0.085303493,0.092344904,0.094013071,0.091623832,0.09331783,0.075334939,0.077685101,0.096571925,0.104549852,0.101454094
-0.085303493,0.092389209,0.094015073,0.091659838,0.093430667,0.075458644,0.077694451,0.096576415,0.104613143,0.101488541
-0.085303493,0.092395388,0.094108786,0.091662894,0.093481088,0.075505869,0.07772838,0.096648871,0.104664628,0.101502973
-0.085303493,0.092396612,0.094180654,0.091756424,0.093487542,0.075507024,0.077779571,0.096680695,0.104690007,0.10151186
-0.085303493,0.092420143,0.09420507,0.091793028,0.093571343,0.075513571,0.077792194,0.096832494,0.10486822,0.101552801
-0.085303493,0.092457397,0.094271734,0.091804146,0.093588882,0.075586294,0.077935603,0.096899263,0.105015214,0.101553772
-0.085303493,0.092480669,0.094328219,0.091855956,0.093722834,0.075612205,0.077940749,0.096940989,0.105043175,0.101659457
-0.085303493,0.092665487,0.094335273,0.091948815,0.093731473,0.075767344,0.077942272,0.096956753,0.105152338,0.101667253
-0.085303493,0.092671002,0.094343436,0.091951314,0.09373709,0.075900284,0.078018132,0.096972571,0.105238608,0.101686461
-0.085303493,0.092694313,0.094400389,0.092002501,0.093810124,0.075976047,0.078038369,0.097064657,0.105240266,0.101691533
-0.085283049,0.092808052,0.094418692,0.092224482,0.09393072,0.075978098,0.078039304,0.097095081,0.105291687,0.101930238
-0.085283049,0.092823525,0.094447366,0.092404249,0.093953931,0.076009935,0.078056683,0.097135317,0.105332044,0.101972666
-0.085283049,0.092937847,0.094518235,0.092439293,0.093985949,0.076016307,0.07809252,0.097199315,0.105474097,0.101975452
-0.085283049,0.092980379,0.094534789,0.092460339,0.094013232,0.076057544,0.078124303,0.097241088,0.105491063,0.102093404
-0.085283049,0.092985337,0.094559384,0.09250048,0.094034172,0.07606683,0.078127502,0.09724522,0.105504126,0.102121214
-0.085283049,0.092987765,0.094576085,0.092554692,0.094092055,0.076141329,0.078132352,0.097367392,0.105632556,0.10218989
-0.085283049,0.093066013,0.094589162,0.09256511,0.094111667,0.076203905,0.078142133,0.097394808,0.10563314,0.102197472
